claim_id,policy_id,agent_id,claim_type,claim_date,resolution_date,claim_amount,approved_amount,status,region,days_to_resolve
CLM000986,POL000004,AGT09762,Collision,2025-09-16,2025-11-26,71922.96,5130.18,In Review,British Columbia,71
CLM000987,POL004173,AGT07365,Fire,2023-10-12,2023-11-09,16244.56,14718.65,Denied,Alberta,28
CLM000988,POL004110,AGT06632,Fire,2021-06-06,2021-07-13,24368.96,15048.74,Open,British Columbia,37
CLM000989,POL004368,AGT05140,Wind/Hail,2023-09-09,2023-12-22,39901.24,2063.58,Denied,Alberta,104
CLM000990,POL000388,AGT06848,Fire,2024-04-02,2024-04-20,60553.19,9834.96,In Review,Saskatchewan,18
CLM000991,POL005481,AGT07817,Wind/Hail,2022-09-15,2022-12-31,30746.86,3279.41,Approved,Alberta,107
CLM000992,POL003245,AGT00822,Collision,2023-09-11,2023-12-12,34044.91,22184.16,Denied,British Columbia,92
CLM000993,POL007713,AGT07565,Fire,2023-09-08,2023-09-17,69743.25,0,Approved,Quebec,9
CLM000994,POL004453,AGT09438,Theft,2025-04-16,2025-06-24,19390.85,19048.77,Approved,Ontario,69
CLM000995,POL004825,AGT05097,Fire,2021-06-16,2021-08-10,50666.94,34220.78,Closed,British Columbia,55
CLM000996,POL008416,AGT06770,Theft,2024-02-01,2024-04-22,27392.04,0,In Review,Manitoba,81
CLM000997,POL009633,AGT05667,Theft,2022-03-20,2022-07-03,42158.21,6644.92,Denied,Ontario,105
CLM000998,POL009203,AGT08853,Water Damage,2023-03-14,2023-03-24,36114.9,21367.45,Approved,Manitoba,10
CLM000999,POL008726,AGT03149,Collision,2023-09-12,2023-11-22,7429.28,751.42,In Review,Quebec,71
CLM001000,POL009124,AGT04386,Theft,2024-05-23,2024-05-30,52370.37,2180.1,Closed,British Columbia,7
CLM001001,POL003458,AGT07551,Theft,2022-03-07,2022-06-20,63785.48,25829.75,Closed,Saskatchewan,105
CLM001002,POL003787,AGT09355,Liability,2022-10-22,2023-01-07,61418.57,0,Denied,Ontario,77
CLM001003,POL000702,AGT09429,Collision,2024-08-14,2024-11-16,35554.97,6536.72,In Review,Ontario,94
CLM001004,POL002517,AGT00595,Flood,2023-06-23,2023-07-26,66324.08,32732.31,Open,Alberta,33
CLM001005,POL000476,AGT03364,Liability,2022-12-24,2023-01-22,30190.19,795.78,Approved,Saskatchewan,29
CLM001006,POL006757,AGT07934,Collision,2024-12-10,2025-02-04,57888.32,0,Open,Ontario,56
CLM001007,POL006626,AGT05245,Collision,2025-09-26,2025-11-04,44884.8,0,Denied,British Columbia,39
CLM001008,POL007281,AGT07937,Fire,2025-08-30,2025-11-06,27680.07,6118.26,In Review,Quebec,68
CLM001009,POL000172,AGT07661,Fire,2022-03-26,2022-03-27,15027.4,3847.56,Denied,British Columbia,1
CLM001010,POL009105,AGT06104,Fire,2024-10-11,2024-11-24,38367.94,8805.55,Approved,Alberta,44
CLM001011,POL009014,AGT00533,Collision,2023-05-17,2023-09-12,11982.57,1337.91,Closed,British Columbia,118
CLM001012,POL008271,AGT06660,Fire,2024-09-09,2024-10-24,68004.2,19601.74,In Review,Ontario,45
CLM001013,POL005776,AGT03242,Theft,2024-06-08,2024-07-07,72581.84,0,Denied,Alberta,29
CLM001014,POL004795,AGT03786,Wind/Hail,2022-08-28,2022-08-31,3257.76,2936.44,Approved,Alberta,3
CLM001015,POL006053,AGT01561,Flood,2023-07-09,2023-07-24,16685.43,3368.95,In Review,Ontario,15
CLM001016,POL006639,AGT05926,Collision,2022-11-22,2023-01-31,65660.3,53059.51,Denied,Saskatchewan,70
CLM001017,POL005334,AGT00655,Collision,2023-10-12,2023-12-24,16189.3,6151.82,Open,Quebec,73
CLM001018,POL005058,AGT02593,Collision,2021-06-04,2021-09-13,17254.83,9443.14,Denied,British Columbia,101
CLM001019,POL007592,AGT02513,Fire,2024-06-08,2024-06-09,71599.4,12182.44,Approved,Manitoba,1
CLM001020,POL004679,AGT03449,Collision,2024-03-31,2024-05-26,59533.35,20526.94,In Review,Manitoba,56
CLM001021,POL006282,AGT07127,Flood,2022-08-18,2022-11-13,13449.54,0,Closed,Manitoba,87
CLM001022,POL002126,AGT06519,Water Damage,2024-08-15,2024-11-07,826.5,0,Open,Saskatchewan,84
CLM001023,POL000783,AGT06803,Water Damage,2022-11-21,2023-02-28,17905.61,5516.7,In Review,Saskatchewan,99
CLM001024,POL001301,AGT01044,Collision,2021-01-06,2021-03-26,19470.73,18213.04,Denied,British Columbia,79
CLM001025,POL009269,AGT09614,Water Damage,2023-10-21,2024-02-06,47194.57,41647.82,Closed,British Columbia,108
CLM001026,POL006876,AGT03687,Wind/Hail,2021-09-05,2021-09-23,46148.43,45098.51,In Review,Alberta,18
CLM001027,POL000745,AGT06033,Water Damage,2023-07-31,2023-11-15,57286.28,19220.89,In Review,Manitoba,107
CLM001028,POL008541,AGT04481,Collision,2022-10-10,2022-12-21,34768.54,17170.54,Open,Ontario,72
CLM001029,POL005020,AGT00425,Fire,2025-12-30,2026-03-13,46382.9,9371.36,Closed,Manitoba,73
CLM001030,POL003765,AGT08461,Liability,2024-11-21,2024-12-11,56460.58,0,In Review,Saskatchewan,20
CLM001031,POL002770,AGT01510,Fire,2025-03-23,2025-07-04,12091.2,2441.1,Closed,Quebec,103
CLM001032,POL005291,AGT05303,Liability,2022-09-14,2022-11-27,54714.29,0,In Review,Alberta,74
CLM001033,POL007774,AGT04450,Liability,2021-11-12,2022-02-19,25404.86,0,In Review,Alberta,99
CLM001034,POL003563,AGT09199,Fire,2025-02-03,2025-05-12,60062.53,30086.08,Denied,Alberta,98
CLM001035,POL000679,AGT05350,Collision,2023-08-05,2023-09-27,19469.2,1774.23,Denied,Alberta,53
CLM001036,POL001308,AGT01429,Water Damage,2024-05-19,2024-07-16,66670.59,43230.21,Open,Saskatchewan,58
CLM001037,POL006363,AGT07491,Theft,2022-10-10,2022-10-28,52742.99,49461.48,Approved,Quebec,18
CLM001038,POL006644,AGT02169,Theft,2024-05-07,2024-07-17,25376.37,0,Closed,British Columbia,71
CLM001039,POL008038,AGT00511,Water Damage,2021-05-31,2021-06-10,53029.64,49153.95,In Review,Quebec,10
CLM001040,POL000695,AGT09265,Flood,2023-02-01,2023-05-13,55751.82,0,Open,Alberta,101
CLM001041,POL009262,AGT08638,Liability,2022-06-09,2022-08-06,34858.02,32046.2,Open,Ontario,58
CLM001042,POL006217,AGT00144,Water Damage,2024-10-30,2024-12-15,36343.76,0,Denied,Alberta,46
CLM001043,POL007349,AGT09742,Water Damage,2022-07-28,2022-09-26,45555.76,20876.57,Open,Quebec,60
CLM001044,POL008736,AGT00184,Wind/Hail,2021-02-01,2021-03-21,73767.94,43884.95,Denied,Quebec,48
CLM001045,POL009253,AGT00876,Fire,2025-09-12,2025-12-27,69586.66,0,Approved,Alberta,106
CLM001046,POL001743,AGT07713,Flood,2024-05-21,2024-08-17,32348.57,0,Approved,Saskatchewan,88
CLM001047,POL002181,AGT05395,Collision,2022-10-15,2022-11-29,74955.36,13842.48,Denied,British Columbia,45
CLM001048,POL002279,AGT08953,Collision,2022-03-28,2022-06-11,772.37,172.97,In Review,Saskatchewan,75
CLM001049,POL006694,AGT01930,Wind/Hail,2021-05-06,2021-05-25,57383.07,56043.14,Approved,Alberta,19
CLM001050,POL005938,AGT08773,Water Damage,2021-05-18,2021-07-01,12283.57,0,Denied,Quebec,44
CLM001051,POL003409,AGT00591,Theft,2023-02-07,2023-03-15,11136.2,6905.69,Closed,Ontario,36
CLM001052,POL000308,AGT04345,Water Damage,2024-10-27,2024-10-30,48372.15,44536.41,Denied,British Columbia,3
CLM001053,POL009776,AGT04645,Wind/Hail,2022-10-03,2022-12-10,35068.24,27899.15,Closed,Ontario,68
CLM001054,POL005048,AGT05571,Liability,2021-10-09,2021-11-26,62063.03,0,Open,Manitoba,48
CLM001055,POL005863,AGT03575,Wind/Hail,2022-05-02,2022-07-23,42529.71,22826.36,Open,Quebec,82
CLM001056,POL005970,AGT01707,Flood,2022-11-27,2022-11-30,74999.55,38423.93,Open,Saskatchewan,3
CLM001057,POL008689,AGT03686,Collision,2024-08-21,2024-09-10,49200.42,46461.29,In Review,Quebec,20
CLM001058,POL004052,AGT04336,Fire,2025-09-26,2025-11-09,70523.29,24666.06,Closed,Saskatchewan,44
CLM001059,POL007864,AGT05306,Theft,2025-02-27,2025-04-26,65511.71,50085.81,Open,Ontario,58
CLM001060,POL003488,AGT01599,Water Damage,2023-06-09,2023-09-07,66385.45,0,In Review,Saskatchewan,90
CLM001061,POL006720,AGT04845,Liability,2021-07-01,2021-09-13,503.88,0,In Review,Saskatchewan,74
CLM001062,POL000374,AGT01908,Flood,2024-07-27,2024-08-24,4123.14,1383.55,Open,Saskatchewan,28
CLM001063,POL001640,AGT08249,Theft,2022-09-08,2022-10-09,61719.58,33221.03,Approved,Manitoba,31
CLM001064,POL009581,AGT05218,Flood,2022-02-03,2022-03-06,17345.24,0,In Review,Ontario,31
CLM001065,POL002215,AGT05630,Wind/Hail,2025-04-29,2025-05-04,37760.35,15681.63,Denied,British Columbia,5
CLM001066,POL001987,AGT08637,Collision,2022-01-21,2022-03-11,21086.03,2855.21,Closed,Quebec,49
CLM001067,POL004699,AGT00196,Flood,2022-11-04,2023-02-01,71601.02,19208.51,Closed,Saskatchewan,89
CLM001068,POL003363,AGT00238,Water Damage,2022-04-14,2022-06-24,16248.68,0,Denied,Alberta,71
CLM001069,POL009949,AGT08850,Liability,2025-07-08,2025-07-27,66071.91,48572.97,Open,Saskatchewan,19
CLM001070,POL008387,AGT08798,Liability,2022-03-11,2022-06-25,56199.41,22054.21,Approved,Saskatchewan,106
CLM001071,POL005119,AGT07486,Liability,2024-04-23,2024-06-10,33030.74,31677.96,In Review,Manitoba,48
CLM001072,POL000483,AGT01618,Flood,2021-08-01,2021-10-25,12412.35,0,Open,Saskatchewan,85
CLM001073,POL004291,AGT01725,Flood,2023-12-15,2024-04-12,19739.19,4171.58,In Review,Manitoba,119
CLM001074,POL007783,AGT07121,Collision,2024-06-06,2024-09-02,28064.34,837.03,Closed,Ontario,88
CLM001075,POL000256,AGT05423,Water Damage,2021-09-08,2021-12-25,63202.51,0,Denied,Saskatchewan,108
CLM001076,POL008870,AGT04201,Wind/Hail,2021-07-08,2021-10-21,57920.6,16198.73,Denied,Manitoba,105
CLM001077,POL004506,AGT04281,Fire,2023-04-03,2023-07-24,5547.61,3589.56,Open,Alberta,112
CLM001078,POL006349,AGT09271,Collision,2023-10-06,2024-01-15,33738.16,0,In Review,British Columbia,101
CLM001079,POL003138,AGT00963,Water Damage,2021-10-23,2022-01-04,53659.91,0,In Review,British Columbia,73
CLM001080,POL004441,AGT02491,Liability,2025-01-06,2025-05-03,74519.9,34241.53,Denied,Saskatchewan,117
CLM001081,POL006172,AGT01466,Collision,2022-06-06,2022-07-20,72645.23,54801.83,Open,Alberta,44
CLM001082,POL000621,AGT00649,Liability,2025-06-02,2025-07-04,32312.75,0,Open,British Columbia,32
CLM001083,POL007753,AGT02950,Theft,2024-05-16,2024-08-01,60142.85,41164.8,Denied,Saskatchewan,77
CLM001084,POL008685,AGT09626,Water Damage,2024-06-04,2024-09-01,1717.73,1266.09,Open,Alberta,89
CLM001085,POL008227,AGT01545,Theft,2025-12-02,2026-01-24,13521.05,0,Open,Alberta,53
CLM001086,POL003628,AGT09150,Fire,2024-12-28,2025-01-13,17987.26,787.01,Open,British Columbia,16
CLM001087,POL004455,AGT08058,Fire,2025-05-04,2025-08-20,50152.25,39539.18,In Review,Alberta,108
CLM001088,POL003712,AGT01996,Collision,2023-04-25,2023-06-14,72334.28,46809.19,Approved,Saskatchewan,50
CLM001089,POL007184,AGT08553,Liability,2025-09-16,2025-10-26,39007.01,0,Approved,Ontario,40
CLM001090,POL005423,AGT04686,Theft,2021-07-25,2021-08-30,67244.1,50619.11,In Review,Saskatchewan,36
CLM001091,POL008050,AGT02561,Wind/Hail,2023-07-18,2023-07-23,620.42,130.43,In Review,Saskatchewan,5
CLM001092,POL000305,AGT02272,Wind/Hail,2023-08-17,2023-09-29,28185.57,5508.43,Approved,Manitoba,43
CLM001093,POL009096,AGT02921,Fire,2025-03-31,2025-04-02,73758.54,18444.32,In Review,Alberta,2
CLM001094,POL009643,AGT07141,Fire,2022-04-11,2022-04-15,31081.56,30202.84,Open,Alberta,4
CLM001095,POL000448,AGT00634,Water Damage,2025-09-09,2025-10-02,7886.97,5205.47,Open,Ontario,23
CLM001096,POL000533,AGT06082,Liability,2021-05-15,2021-07-23,1092.28,510.03,Denied,Quebec,69
CLM001097,POL003926,AGT03450,Water Damage,2021-09-01,2021-11-15,9945.88,6456.45,Open,Ontario,75
CLM001098,POL008563,AGT06328,Collision,2022-01-12,2022-03-23,43043.9,34876.7,Closed,Ontario,70
CLM001099,POL002718,AGT03363,Fire,2022-04-23,2022-06-26,17579.74,12621.42,Approved,British Columbia,64
CLM001100,POL004957,AGT03158,Collision,2022-04-01,2022-06-05,18985.55,2897.32,Denied,Ontario,65
CLM001101,POL005366,AGT07618,Theft,2023-11-24,2024-02-17,31875.33,8031.27,Denied,British Columbia,85
CLM001102,POL009885,AGT07934,Collision,2024-12-27,2025-02-13,60826.79,34945.98,Open,Alberta,48
CLM001103,POL008539,AGT08673,Flood,2025-05-13,2025-07-31,4205.19,2438.78,In Review,Saskatchewan,79
CLM001104,POL009946,AGT01479,Water Damage,2021-01-03,2021-02-04,22684.8,5616.47,In Review,Alberta,32
CLM001105,POL007306,AGT08146,Fire,2024-02-19,2024-05-26,9553.45,0,Closed,Alberta,97
CLM001106,POL003637,AGT00282,Water Damage,2025-04-27,2025-06-19,17123.88,15295.42,Open,British Columbia,53
CLM001107,POL007399,AGT08934,Water Damage,2025-11-15,2025-11-26,64771.75,39267.8,In Review,Ontario,11
CLM001108,POL009183,AGT04573,Flood,2024-10-16,2025-02-10,10288.42,87.59,Denied,British Columbia,117
CLM001109,POL004039,AGT08509,Wind/Hail,2024-08-02,2024-08-25,17321.33,11718.16,In Review,Quebec,23
CLM001110,POL003653,AGT03148,Liability,2023-01-04,2023-02-05,32446.4,27537.26,Denied,Ontario,32
CLM001111,POL001034,AGT04743,Fire,2021-11-04,2021-12-02,37594.51,31496.56,Open,British Columbia,28
CLM001112,POL004220,AGT00297,Collision,2023-05-04,2023-08-20,35897.1,24763.3,Approved,Alberta,108
CLM001113,POL006588,AGT05488,Fire,2025-09-27,2025-10-16,74603.05,0,Approved,Saskatchewan,19
CLM001114,POL008927,AGT01802,Water Damage,2023-08-16,2023-10-20,67406.45,3826.52,Denied,British Columbia,65
CLM001115,POL000452,AGT06056,Collision,2024-10-23,2024-10-31,64053.1,47211.56,Denied,Manitoba,8
CLM001116,POL005810,AGT02173,Theft,2024-01-05,2024-03-04,48960.44,7094.02,Open,Manitoba,59
CLM001117,POL003979,AGT06159,Liability,2023-01-31,2023-05-12,66674.67,0,Closed,Manitoba,101
CLM001118,POL002898,AGT00767,Fire,2024-04-11,2024-04-30,18085.21,4339.96,Denied,Manitoba,19
CLM001119,POL009876,AGT00273,Flood,2025-11-25,2026-01-07,16126.36,10073.71,Approved,Quebec,43
CLM001120,POL009158,AGT08359,Fire,2022-10-13,2022-12-17,19634.2,12812.57,Open,British Columbia,65
CLM001121,POL007614,AGT04689,Wind/Hail,2022-12-04,2023-01-21,1446.96,928.98,Closed,Ontario,48
CLM001122,POL002870,AGT00468,Water Damage,2025-04-05,2025-07-05,53773.23,30809.41,Open,British Columbia,91
CLM001123,POL002123,AGT08743,Fire,2025-10-27,2025-11-06,29013.45,4487.17,Open,Alberta,10
CLM001124,POL003586,AGT07107,Flood,2022-08-19,2022-10-16,62305.94,41740.48,In Review,Saskatchewan,58
CLM001125,POL002879,AGT09079,Theft,2024-05-07,2024-06-07,53978.9,0,Open,Alberta,31
CLM001126,POL008470,AGT09071,Liability,2025-09-14,2025-12-14,31950.71,11647.13,Open,Ontario,91
CLM001127,POL003288,AGT09146,Fire,2022-07-08,2022-07-12,45064.58,3811.53,Open,Saskatchewan,4
CLM001128,POL007382,AGT09300,Flood,2021-12-28,2022-01-11,30351.08,2548.85,Closed,Saskatchewan,14
CLM001129,POL005161,AGT06679,Flood,2021-05-28,2021-08-28,34377.14,0,Approved,British Columbia,92
CLM001130,POL004748,AGT07744,Collision,2021-08-19,2021-12-13,51227.29,0,Denied,Alberta,116
CLM001131,POL004128,AGT01451,Liability,2023-12-09,2023-12-12,15044.06,4292.48,Closed,Alberta,3
CLM001132,POL003359,AGT02922,Fire,2022-04-19,2022-05-28,32820.95,3066.29,Denied,Quebec,39
CLM001133,POL009241,AGT05723,Theft,2021-12-25,2022-03-04,28554.01,10477.3,Approved,Quebec,69
CLM001134,POL003807,AGT00318,Liability,2024-09-17,2024-09-28,20282.94,0,Closed,Manitoba,11
CLM001135,POL000124,AGT06338,Theft,2023-12-03,2023-12-30,26201.82,19184.98,Closed,British Columbia,27
CLM001136,POL009893,AGT01315,Water Damage,2022-06-27,2022-08-29,55917.61,22428.79,Closed,Ontario,63
CLM001137,POL003485,AGT06911,Water Damage,2023-10-15,2023-10-26,6570.52,3059.74,In Review,Manitoba,11
CLM001138,POL000985,AGT04525,Liability,2024-04-02,2024-07-19,13670.79,3444.18,Open,Saskatchewan,108
CLM001139,POL009599,AGT06153,Water Damage,2021-12-25,2021-12-29,25058.43,2627.47,Open,Ontario,4
CLM001140,POL001068,AGT03473,Fire,2022-08-06,2022-10-11,15956.49,10379.02,In Review,Quebec,66
CLM001141,POL004693,AGT02464,Water Damage,2025-09-23,2025-09-25,49772.97,11642.43,Denied,Alberta,2
CLM001142,POL000324,AGT05300,Flood,2021-07-26,2021-08-19,65921.81,1749.69,Closed,Saskatchewan,24
CLM001143,POL009012,AGT01698,Theft,2022-03-24,2022-07-19,47068.73,0,Denied,Ontario,117
CLM001144,POL003706,AGT01873,Collision,2021-05-22,2021-06-13,48790.7,2790.53,In Review,Quebec,22
CLM001145,POL001907,AGT07928,Water Damage,2023-01-16,2023-02-21,11832.02,6846.28,Closed,Ontario,36
CLM001146,POL009313,AGT01143,Theft,2023-01-20,2023-02-02,12004.16,0,Approved,Ontario,13
CLM001147,POL003433,AGT06375,Water Damage,2024-08-11,2024-12-05,31116.05,11430.62,Denied,Saskatchewan,116
CLM001148,POL002754,AGT02591,Theft,2025-10-05,2025-12-28,11097.9,7848.94,Closed,Alberta,84
CLM001149,POL001785,AGT02997,Theft,2021-03-02,2021-03-17,24167.87,0,Approved,Saskatchewan,15
CLM001150,POL006166,AGT01917,Theft,2025-05-21,2025-07-08,20555.13,18790.17,Open,Ontario,48
CLM001151,POL003206,AGT00078,Water Damage,2023-12-08,2024-01-12,8037.35,7205.63,In Review,British Columbia,35
CLM001152,POL009958,AGT04462,Wind/Hail,2023-09-29,2023-11-22,45354.27,0,Approved,Manitoba,54
CLM001153,POL008404,AGT08627,Collision,2023-01-18,2023-05-06,2369.23,770.7,Closed,Manitoba,108
CLM001154,POL009549,AGT03192,Liability,2023-08-22,2023-09-08,14468.61,0,Denied,Saskatchewan,17
CLM001155,POL003234,AGT09272,Liability,2023-12-03,2023-12-10,13282.51,0,Approved,Alberta,7
CLM001156,POL006447,AGT08819,Flood,2022-05-30,2022-06-03,37636.5,36111.92,Open,Saskatchewan,4
CLM001157,POL006889,AGT08487,Wind/Hail,2022-06-01,2022-06-15,70597.68,36594.24,Denied,British Columbia,14
CLM001158,POL007519,AGT09952,Collision,2022-02-23,2022-05-09,52852.76,38633.78,In Review,Alberta,75
CLM001159,POL007534,AGT01997,Fire,2023-10-27,2023-11-24,56114.44,13369.25,Closed,Ontario,28
CLM001160,POL001627,AGT00661,Flood,2024-01-07,2024-01-26,60609.05,28903.83,Approved,Saskatchewan,19
CLM001161,POL006882,AGT04491,Flood,2024-01-03,2024-03-11,13860.62,0,Approved,Alberta,68
CLM001162,POL007230,AGT03048,Liability,2022-01-06,2022-04-25,42780.21,23717.83,Closed,Manitoba,109
CLM001163,POL005717,AGT01002,Fire,2023-06-02,2023-09-15,9253.84,1127.9,Denied,Alberta,105
CLM001164,POL001304,AGT04807,Flood,2021-08-12,2021-09-17,37925.92,37636.1,Approved,Alberta,36
CLM001165,POL007595,AGT01518,Fire,2021-01-05,2021-01-15,57463.59,4538.09,In Review,Alberta,10
CLM001166,POL002514,AGT09604,Fire,2021-01-18,2021-02-02,13715.45,8773.6,Denied,British Columbia,15
CLM001167,POL003540,AGT04773,Liability,2024-01-18,2024-03-24,3272.89,1524.0,In Review,Manitoba,66
CLM001168,POL007823,AGT06319,Theft,2021-09-14,2021-12-31,34839.37,29295.95,Approved,Saskatchewan,108
CLM001169,POL002726,AGT05925,Liability,2021-11-03,2022-02-28,65073.52,39922.05,Open,Quebec,117
CLM001170,POL006745,AGT07846,Collision,2024-04-13,2024-05-13,73910.91,25281.79,Denied,Ontario,30
CLM001171,POL002772,AGT06159,Collision,2022-03-01,2022-06-14,11449.61,6685.65,Closed,Alberta,105
CLM001172,POL008182,AGT01961,Liability,2022-07-25,2022-11-16,68054.16,50164.31,Open,Ontario,114
CLM001173,POL008589,AGT03336,Theft,2023-10-24,2024-02-03,54633.37,24256.46,Closed,Manitoba,102
CLM001174,POL004290,AGT02451,Fire,2022-08-01,2022-10-14,46208.38,25609.19,Approved,British Columbia,74
CLM001175,POL007853,AGT05304,Theft,2021-03-27,2021-07-25,65267.73,38310.7,In Review,Alberta,120
CLM001176,POL008604,AGT05480,Theft,2024-12-13,2025-03-08,29643.14,16740.05,Closed,Alberta,85
CLM001177,POL002300,AGT01950,Flood,2021-09-05,2022-01-02,51125.35,39206.6,In Review,Manitoba,119
CLM001178,POL008808,AGT04609,Theft,2024-09-22,2024-12-26,27539.67,0,Closed,British Columbia,95
CLM001179,POL002730,AGT06704,Liability,2022-10-15,2022-11-18,29891.31,13289.8,Denied,British Columbia,34
CLM001180,POL000390,AGT03079,Water Damage,2023-03-04,2023-03-14,40993.01,7216.56,Approved,Ontario,10
CLM001181,POL000996,AGT04601,Collision,2025-06-03,2025-09-21,7747.53,2019.25,In Review,British Columbia,110
CLM001182,POL007649,AGT05865,Collision,2024-05-26,2024-07-12,5458.04,3586.02,Approved,British Columbia,47
CLM001183,POL003744,AGT08579,Collision,2024-07-05,2024-07-21,9653.53,0,In Review,British Columbia,16
CLM001184,POL008801,AGT01736,Liability,2023-12-29,2024-01-04,28527.76,1008.99,Denied,Ontario,6
CLM001185,POL006137,AGT09720,Wind/Hail,2025-05-16,2025-08-07,11166.09,2528.44,In Review,Manitoba,83
CLM001186,POL001048,AGT02815,Liability,2022-05-12,2022-07-29,56134.66,55703.16,In Review,Saskatchewan,78
CLM001187,POL006412,AGT02298,Liability,2023-10-25,2024-01-23,32359.47,750.15,Denied,Ontario,90
CLM001188,POL006652,AGT07474,Liability,2024-02-27,2024-04-17,33617.55,29743.5,Closed,Ontario,50
CLM001189,POL004614,AGT00588,Collision,2024-09-26,2024-12-08,56227.88,0,Closed,Ontario,73
CLM001190,POL005841,AGT03171,Flood,2024-04-09,2024-07-19,6501.28,180.0,Closed,Quebec,101
CLM001191,POL001912,AGT03329,Water Damage,2023-11-23,2023-11-24,36123.03,0,Approved,Ontario,1
CLM001192,POL002861,AGT04413,Collision,2023-10-13,2023-11-12,6993.03,6345.1,Closed,British Columbia,30
CLM001193,POL006371,AGT08029,Liability,2024-09-10,2024-11-08,27746.0,7433.51,Open,Ontario,59
CLM001194,POL005861,AGT00877,Water Damage,2022-11-15,2023-01-01,41109.23,1242.47,Open,British Columbia,47
CLM001195,POL009185,AGT03921,Collision,2023-05-05,2023-06-15,27139.53,18817.59,Approved,Saskatchewan,41
CLM001196,POL001608,AGT05435,Flood,2022-04-03,2022-04-19,67808.53,30608.8,Open,Saskatchewan,16
CLM001197,POL001877,AGT00179,Wind/Hail,2022-01-06,2022-02-21,11131.19,4915.93,In Review,Quebec,46
CLM001198,POL009354,AGT02934,Fire,2021-10-05,2021-11-29,65482.46,0,In Review,Manitoba,55
CLM001199,POL001043,AGT01376,Flood,2025-04-29,2025-05-30,8601.23,1291.99,Closed,British Columbia,31
CLM001200,POL000689,AGT06813,Flood,2024-11-09,2024-11-18,27972.63,0,Approved,British Columbia,9
CLM001201,POL008278,AGT09270,Fire,2021-12-10,2022-02-18,39774.87,10702.41,Approved,British Columbia,70
CLM001202,POL004972,AGT02082,Water Damage,2021-01-03,2021-04-01,42083.16,37964.56,Approved,Ontario,88
CLM001203,POL009722,AGT06777,Theft,2025-02-25,2025-04-24,42920.18,20927.63,In Review,Manitoba,58
CLM001204,POL005219,AGT01469,Water Damage,2021-05-27,2021-09-05,61462.87,47822.22,Denied,Ontario,101
CLM001205,POL005741,AGT08180,Flood,2022-01-02,2022-02-07,73261.83,5945.72,Denied,Alberta,36
CLM001206,POL001646,AGT02364,Wind/Hail,2025-01-02,2025-04-15,43540.24,17211.83,Open,British Columbia,103
CLM001207,POL008899,AGT06544,Theft,2023-11-15,2024-01-15,49941.26,43566.73,In Review,Ontario,61
CLM001208,POL008419,AGT06811,Water Damage,2025-08-08,2025-11-05,22809.82,0,Denied,Alberta,89
CLM001209,POL002204,AGT05796,Fire,2023-03-23,2023-06-12,32996.21,16613.57,Open,Quebec,81
CLM001210,POL005785,AGT04127,Liability,2023-06-19,2023-06-28,17951.29,7533.47,Closed,Quebec,9
CLM001211,POL003172,AGT02237,Wind/Hail,2022-09-27,2022-11-03,38977.0,14387.07,Closed,Alberta,37
CLM001212,POL008954,AGT04446,Flood,2025-03-14,2025-07-05,47797.01,20811.36,Open,British Columbia,113
CLM001213,POL001193,AGT04298,Liability,2023-06-22,2023-07-23,50685.17,38506.0,Open,Alberta,31
CLM001214,POL007438,AGT09353,Theft,2021-10-01,2021-11-18,70215.46,0,Closed,Quebec,48
CLM001215,POL005354,AGT06796,Water Damage,2024-07-10,2024-08-13,44861.04,33662.28,Approved,Manitoba,34
CLM001216,POL009769,AGT05359,Water Damage,2021-12-01,2021-12-09,59347.01,4029.67,In Review,Quebec,8
CLM001217,POL006070,AGT08372,Theft,2025-02-07,2025-04-21,10824.16,575.57,Approved,Alberta,73
CLM001218,POL005032,AGT02524,Collision,2021-06-25,2021-07-30,18835.82,0,Denied,Ontario,35
CLM001219,POL004455,AGT04016,Flood,2022-10-29,2022-11-01,34683.42,10049.51,In Review,Ontario,3
CLM001220,POL005938,AGT05819,Collision,2025-01-16,2025-03-23,34549.12,31664.71,Closed,Ontario,66
CLM001221,POL002528,AGT09598,Liability,2024-01-30,2024-01-31,60548.22,9457.97,Approved,British Columbia,1
CLM001222,POL008439,AGT00374,Wind/Hail,2021-04-08,2021-04-14,59854.28,28853.38,Approved,Manitoba,6
CLM001223,POL008903,AGT02329,Collision,2024-07-13,2024-10-02,72210.92,7021.27,Closed,Saskatchewan,81
CLM001224,POL006686,AGT04929,Wind/Hail,2022-11-23,2022-12-29,43848.9,0,Approved,British Columbia,36
CLM001225,POL000580,AGT04759,Fire,2025-09-04,2025-12-06,68372.59,26268.14,Approved,Alberta,93
CLM001226,POL004627,AGT01927,Wind/Hail,2021-02-10,2021-06-03,28999.0,0,In Review,Ontario,113
CLM001227,POL003640,AGT09017,Wind/Hail,2025-11-23,2025-11-29,39559.94,15859.21,In Review,Manitoba,6
CLM001228,POL001125,AGT00521,Flood,2022-08-31,2022-12-19,34692.85,10565.05,Open,British Columbia,110
CLM001229,POL002655,AGT09031,Wind/Hail,2021-02-05,2021-02-28,66806.39,3700.8,Denied,Saskatchewan,23
CLM001230,POL000652,AGT03214,Wind/Hail,2024-02-15,2024-03-20,52228.59,16352.04,Approved,Manitoba,34
CLM001231,POL002836,AGT09990,Water Damage,2023-10-13,2023-10-21,65937.3,65610.91,Open,Manitoba,8
